kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
polepe,pulepen,ie umale'iko - mu dia yang mengambil pulpenmu,
pombahora,kebun,lako ie ihawi i medara,ia pergi ke kebun kemari dengan naik kuda
mepombahora,berkebun,iam ronga iina lako -,"bapak denga ibu pergi berkebun, ayah dan ib pergi berkebun"
"pombe, anopomboe",seperti,keupo dea'i memboro - dahunokaa,eng kau dengar bunyi gemuruh sepert bunyi anjing?
pombeo,coba,- hawakee,coba i ngatkan
"pona, anoponahae di",melahirkan lagi,- oaso analanggai tamono La Baso,dia melahirkan lagi satu anak laki-laki yang benama La Baso
pondoo,"tunda, ular waktu",iamoto wowaiito ona,"jangan tunda, laksanakan sekarang!"
"pondu, mbondu",mulai,ie sumende -,dia mulai cerewet
pondu,mulut,- no i masri ketekete,mulut Masri cerewet
pondu,paruh,no onggoikee - no,
pondukaako,"naik, mendaki",no - i osu,ia naik ke atas gunung
ponduolakoa,kukusan,- nggiro'o niowai ari ine tawa londara,kukusan itu dibuat dari daun lontar
"pongoni, pinongoni",diminta,asobitaasi - ro,sedikit sekali yang diminta mereka
pinongonino,dimintanya,telia tadio -,terlalu banyak yang dimintanya
"pongoni-ngoni, topongoni-ngoni",mudah-mudahan,- aro salama,mudah-mudahan mereka selamat
"pongu, tepongu",terbelenggu,ana moreno - tokaa i aa laika,anaknya yang wanita selalu terbelenggu saja di rumah
"ponini, momboponini",mencuri,sau lako - i pasa,jangan pergi mencuri di pasar
pono,baru,ie - leu ari akuto lako,baru dia datang sesudah aku pergi
pono,penuh,kimbendoro ronga masusaa,"mereka hidup dengan penuh kesusahan; anoponombendua supaya penuh kembali; - olepa, supaya sampai penuh kembali bakul"
"ponu, o ponu",penyu,-,kuita ronga
po'opo,belum,i ama - no lako,ayah belum pergi
"popaho, pinopaho",tanaman,- no inono laa toro,sudah ada yang tumbuh tanamannya
"popoipi, popoipii",mempikan,ku laleu i laikanggu,saya mimpikan dia datang kerumah saya
"poponini, momboponini",mencuri,ihiro onggo meopateako saba kuari -,mereka akan membunuhku karena saya pernah mencuri
"popotautaku, pinopotautaku",dibentak,ihiro inonggo ronga -,mereka diikat dan dibentak
"pori, mepori","cermat, halus",- no madama,dia cermat bekerja
posikuti,sapu,kambuka nde niowai -,ijuk sering dibuat sapu
posio,belalang,- nggiro'o lumaa mbendua,belalang itu terbang
"posua, teposua",bertemu,o ruoto o tau kuta -,sudah dua tahun saya tidak bertemu
teposuangge,"temui, jenguk",ene hae haimu laa meohaki,"pergi jenguk adikmu, dia sedang sakit"
poteha,sepupu,nomeambo penaono - mu nggiro'o,baik sekali hati sepupumu itu
potolo,pinsil,laa laa - nggu,yang ada hanya pinsilku
"potoro, mombotoro",mendirikan,i ama - Laika i Ambe Kairi,ayah mendirikan rumah di Ambekairi
pepotoroano,tempat mendirikan,lakongguto melingaasii wuta nggo laikanggu,pergilah aku membersihkan tanah untuk tempat mendirikan rumahku
"powai, powaikee",buatkan,- pelaika ano keno ari kawi,buatkan rumah kalau dia sudah kawin
powuatako,bendel,pepotambeano ohoro biasano tinamoako -,penyangga lantai biasanya disebut bendul
"powule, pewula'a tempat",sirih,aleike'ito - ato pewule,"ambilkan tempat sirih, kita makan sirih"
pua,angin,mokora nopepupuri o - i wingi,tadi malam angin bertiup keras
puaio,jemur,kiro - tinatapi mowilamu,di sana jemur cucian putihnya
puasa,puasa,mbera guru -,semua guru puasa
pue,nenek,motuo dahuito -no,sudah tua sekali neneknya
puhe,pusat,- no anangombo nggiro'o mositi tinutuwi meambo,pu-
"pula, tepula",terpotong,- kaluku no pupuri'i opua,kelapa terpotong ditiup angin
"pule, anombule lalu",kembali,arombererehu - mbekondo tina i nanuru-nuru,mereka duduk lalu kembali melihat perempuan dari kayangan
akutombule,saya akan pulang,inaku - i wawo sangia,saya akan pulang ke atas kayangan
"pulio, tepulio",terbenam,- fo matano oleo,matahari sudah terbenam
"pulu, asombulu sepotong",kecil,maa - tanoonggo monduhakona,biar sepotong kecil dia tidak akan menjauhkan bagimu
"puluki, pulukiike",patahkan,- tumbuno keno toro,patahkan tunasnya kalau tumbuh
pumbu,kumpul,ohapo nggo o tuono no - iro,apa gunanya dia kumpul mereka
tepumbu'ito,sudah berkumpul,anandonia rongga uale,pemuda dan gadis sudah berkumpul
pundi,pisang,lakonoto monduhake - no,kemudian ia menjatuhkan pisangnya
pupu'i,petik,- wua' taipa niino,petik buah mangga ini!
nopupui,dipetik,kawu-kawu ronga o kapa - i Ali,kapuk dan kapas dipetik Ali
purundawa,sayur,laa - mano asobita,"ada sayur, tetapi sedikit"
putarai,putar,iamo - gondino,jangan putar kuncinya
"putuku, monduturu",berbaring,no laa - ine wuta,sedang dia berbaring di tanah
"puu, asombuu satu",pohon,ano kiki'i omunde -,dia melihat jeruk satu pohon
puu,nohu beranda,i - pono ana dalo mbepaepae,beranda depan penuh anak-anak bermain
radio,radio,no mosa'a - no banggonanggu,radio temanku rusak
rae,rakyat,- ano mokole mbesumepa,rakyat raja mengamuk atau
raha,rumah,lito i wawo -,sudah ada di atas rumah
meraha,membuat rumah,i bio konohori - Bio belum membuat rumah,
peraha-rahanggee,membuatkan rumah-rumah,no - hiro anano nggo pepae-pae'aro,dia membuatkan rumah-rumah anaknya tempat mereka bermain-main
"rahi, penerahi-rahi","harap-harapkan, diandalkan",inggo ikea -,hanya engkaulah yang saya harap-harapkan
morakala,membajak,i ali - galuno i bio,Ali membajak sawah Bio
nirakala,dibajak,galuno - i ali,sawahnya dibajak Ali
"raki, meraki",berdaki,nggituo o babu - ako,baju itu berdaki sekali
rano,"lumpur, ne -, di lumpur, merano berlumpur",loloha no dia berlumpur seluruhnya,
"rapo, morapo","lebat, deras",- o usano tudu,hujan turun lebat
rumapu,"menjadikan istri, memperistri",kioki ku ehe - ko,saya tidak mau memperistri kau
anopokomberapui,dan dikawinkan,lakonoto tetoro moia - ama-,
"rare, merare",cepat,- to leu i Keni,cepatlah datang di sini!
ra'u,sukun,saa leuno ikaa pu'unggasu lau ano amba mongga wua -,"kalau dia datang di pohon kayy, dia terus mau makan buah sukun"
rus,"duduk seraya menangis, anopereu-rehu dan duduk-duduk",- umawi-awdii anano,dan dudukduduk memangku-mangku anaknya
rembu,rumput,mendaa ito - no nggirogo koburu,rumput kubur itu sudah panjang
rengga,bongkar,- i merare babumu nggituo uaamba moko meamboi,"bongkar cepat bajumu itu baru perbaiki; morengga membongkar; - balango, membongkar sauh"
lesa,turun,aupe - ako,supaya engkau turun
"re'u, mere'u kuci",muka,saz pewanguno ikaa lako tuuno -,ketika dia bangun terus pergi cuci muka
"rima, o rima",biar,- eto ano mate biarlah dia mati,
ro,mereka,opitu owingi ie'ipo ano tena'iro o'ata lako bahoi -,"tujut malam barulah mereka suruh bu dak pergi mandikan mereka; ariro sesudah mereka; - boul i bangga, sesudah mereka memuat perahu; anaro anak mereka; - o ruo, anak mereka dua"
"roa, moroa",bersih,wohiki kuro ano -,cuci periuk sampai bersih
rombui,"terakhir, terkebelakang",ana - no no indo dahui,dia sayang sekali anak bungsunya
rombu-rombui,belakangan,- niino dadio toono meohaki,belakangan ini banyak orang yang menderita sakit
"rome, morome",gemuk,ie - dahu,dia lebih gemuk
morome,"subur, gemuk",- dahu kambo sabilambo,subur sekali kampung Sabilambo
"rondu, merondu menebas",hutan secara gotong-royong,lako roto lako -,lalu mereka pergi menebas hutan secara gotong royong
peronga-ronga,bersama-sama,lakoroto mbonggaa - mereka pergi makan bersama-sama,"auronga supaya dengan; - pepusu moro-mororo, supaya dengan menutup mata kuat-kuat"
rumongoi,memikul (tali di kepala),to lako - nggiro'o luale,kita pergi memikul gadis itu
ronggu,penyakit,no konoi - tepopotau-tau,dia dikena (menderita) penyakit bertahun-tahun
"rou, merou",sopan,totoko nggiro'o -,tamu itu sopan
"rowi, morowi-rowi",cepat-cepat,- no molako-lako,dia jalan cepat-cepat
"rue, rumue menggoyang",kepala,laaeto mebitara laaeto -,dia sedang berbicara sambil menggoyang kepala
"ruku, meruku","melalui, mengikuti, menyalami",- ine hapo no lako,mengikuti ke mana ia pergi
"rumba, terumba",tumbang,i batulu - laikano,rumah Batulu tumbang
terurumba,berebahan,dadio ako kasu - banyak sekali kayu rebah,
terumba'ito,sudah rebah,- pundinggu,sudah rebah pisangku
rumumbanggee,merebahkan,no puumbundi,dia merebahkan pohon pisang
anoterumba,sampai rebah,tabeano ari'ito tumue'i nggua'o wutundumade,- kecuali sudah dia me-
runggu,penyakit,ari-ari to - no sudah sembuh penyakitnya,
torunggu,penjara,mbelahoaro mbe - mokosisi dahu,tempatny mereka di penjara kotor sekali
rooruo,berdua,ro -,mereka ber dua
peruoruoto,berdualah,to - ongg lako mebaho,kita berdualah perg mandi
ruo-ruo,dua-dua,toro - toi ken telah kita berdua-dua di sini; koruo kedua,"- mbulo, kedua pt luh"
rupia,rupiah,onomambulo sowu enam puluh ribu rupiah,
rupo,bawa,inae - hiro i keni,siap bawa mereka di sini?
morupo,membawa,ie'ito banggc nano leu - o woha,sudah datan temannya membawa beras
ruru,pungut,ku laa tinena - i gandu nggiro'o,saya sedang dist ruh pungut jagung itu; '
sa,jangan,- u lako molako-lako i pasa,jangan kau pergi berjalan-jalan di pasar
saa,"naas, sial",nira'ira'inggu oleo -,yang saya hadapi adalah hari naas
"saakoii, sumaakoii",menolong,inaku - lahano tondu,saya yang menolong sewaktu tenggelam
saana,teman,- no i ama,temannya ayah
saawi'ino,larut,- no golano lakonoto umalei,"setelah larut gulanya, lalu dia mengambilnya"
saba,sebab,taa ku pebabu - taa nionggi babunggu,saya tidak berbbaju sebab tidak ada bajuku
sabara,sabar,tendenoto no - ana dalo nggiro'o,sudah terlalu sabar
sadalo,teman,iee - nggu,dia temanku
sadia,sedia,ie'ito ano - baisano mokole,itulah sebabnya mertua raja sedia
pokosadiai,sediakan,- o nohu ku onggo umusa o pae,"sediakan lesung, saya akan menumbuk padi"
pepokosadia,supaya bersiap,au -,
sahada,syahadat,to'ono onggo mate nde mobasa -,orang yang akar meninggal sering membaca syaha dat
sumaira'i,menyambit,mbuengg lako-i pombahorano,nenekku pergi menyambit di kebunnya
sako,sejenis alat pengukur,- o lur,
takusala,tidak salah,taku salasoloki - limbue,"saya tidak salah arus dan tidak salah lubuk; anosala keliwatan; - ngoko-eheeheano ronga mokosala rekano, keliwatan gembiranya dengan suka-rianya"
aumokosala,jangan melanggar pantangan,tine'eniako - ike mbuemu inalu-alono,diberitahukan kepadanya jangan melanggar pantangan dari kebiasaan kakekmu dalam hal berburu
aupoposala,jangan sampai melanggar pantangan,- ikee mbuemu inalo-alono,jangan sampai melanggar pantangan dari kebiasaan kakekmu dalam hal berburu
salaka,perak,kale-keleno ari ne -,gelangnya terbuat dari perak
salaka'a,rakus,iamo - saba dadio to'ono,jangan rakus karena banyak orang
"salaki, sinalaki",kesalahan,o hapo -. nggu kei nggomiu,apa kesalahanku terhadap kalian
salama,selamat,o lima to'ono - ari ne kapala tondu,lima orang selamat dari kapal yang tenggelam
salanggoa,"ganjil, lebih",keno laa nggi - maa po'aloto,"kalau ada lebihnya lagi, kau ambil saja"
salawa,selawat,iamo kollulu'i - keu onggo mate,jangan lupa selawat kalau akan mati
"ale, mosalei",merintis,fo'ono nggo lako noto -,sementara orang itu pergi merintis
anomosalesale,dia melayang-layang,- molaalaa ndoe,dia melayang-layang di angkasa
aleo,elo pemberita,anadalo nggiro'o -,anak itu pemberita artinya suka menyampaikan berita
salei,tebang,- o pundi nggiro'o,tebang pisang itu
"salei, posalei",memeras,no - nggi-,
saluaro,celana,- iune - mendaa,celana dalam celana panjang
salupi,ikat pinggang,- ngguli,ikat pinggang kulit
arosamaturu,mereka bersepakat,- lako,mereka bersepakat pergi
samba,"dahan, cabang",- ronga raa rangga tituo i hawi kiniwi,dahan dan ranting pohon nangka dipangkas kemarin sore
pesamba,bercabang,pu.unggasu nggiro'o - ruo,pohon kayu itu bercabang dua
sambahea,sembahyang,wole'i ambahi -,bentangkan tikar sembahyang
sumambali,"membeleh-belah, membagi-bagi",inae onggo - kiniku,
"sambeako, mesambeako menggan",tung,inas - o babu i keni,siap menggantung baju di sini?
sambehula,sedapat mungkin,lakot -u dungu,pergilah sedapat mung kin kau sampai
sanaa,senang,inaku - akuto,saya su dah senang
sandale,sandal,laa ito - nggu rong songgonggu,sudah ada sandalk dan topiku
sando,peana bidan,- nggiro'o iet posandono tonopeano,bidan it adalah perawat orang beranak
mesando,berbidan,peanano nggi - sewaktu akan beranak ia ber bidan,
mosando,peana kebidanan,anada lo nggiro'o menokodua kee anak itu belajar tentang kebidan an,
sumandoi,membidani,nyonya Asmi ari - ako,nyonya Asm yang pernah membidani saya
posaoa,meruncing,mbo'alo pu'u wulo si - tu'oi,ambillah pohon bambu kecil engkau meruncing dan pasang ranjau
"sapi, osapi",sapi,- ndina inolino i maama,sapi betina dibeli paman
sara,sifat,mbemosa - ro,sifat mereka jelek
sarapu,"pacar, tunangan",engeno nggu mendadi dahu,hidung tunanganku mancung sekali
sumaru'ikee,menceritakan,i bio - mosaano,Bio menceritakan keburukannya
saruikoo,ceritakan,poedea'ito saru aku - doa mombokotudaii,dengarlah saya ceritakan
orang,"itu baik ceritanya, akutosaru saya akan",kekupe'ekato - lako,kalau saya naik berarti saya akan pergi
saru,yang,laa iki - salanggoano,ada yang ganjil
sau,jangan,- ale'i nggitu'o,jangan ambil itu
"sawa, mesawakee",memarahi,inggo'o ehe - haimu,kamu suka memarahi adikmu
"sawatuu, sawatuumu engkau",sungguh-sungguh,meenae perano -,apakah benar engkau sungguhsungguh
"sebi, mesebike menarik",dengan me nyentakkan,- ano mokora,me narik dengan menyentakkan su paya kuat
pesebikee,menyentakkan,nokareno,dia menyentakkan Kaki nya
"seka, moseka",berani,mokole i kona we - rongga moambo penaono raja di Konawe berani dan bail hati,
teseka-seka,pemberani,anadalo nggiroo - sawatuu,anak itu pemberani sekali
"sele, mosele",basah,luwuakono - babuno,bassah seluruh bajunya
mesembaki,"menendang, menyepak",no petidu lakonoto -,dia meninju lalu dia menendang
mokosembaki'i,"menendang, menyepak",i keni aku - golunggu,saya menendang bolaku di sini; sumembaki menendang; menye-
"sende, sumende",cerewet,ie - mbondu,dia mulai cerewet
"lsepa, mbesumepa",mengamuk,rea ano mokole,rakyat raja mengamuk
mesumepa,meronta,ana dahu -i tado laika,anak anjing meronta di kolong rumah
sumepa,mengacau,leu itokaa pokatu mbera mokole ari-ari leu kemudian datang pesan para raja yang pernah datang mengacau,
mesumepa,"main sepak, main takro",maindo ato lako - i kiro,marilah kita pergi main takro di sana
"sepe, sumepe'i",dipukulnya,lakonoto - darano,kemudian dipukulnya kudanya
sepu-sumepu,menempa,"inggo'o to"" ori -",Kamu pintar menempa
serekombo,saudara kandung,laa o pitu - nggu,ada tujuh saudara kandunganku
"sesehe, mbeseseha",berkelahi,ene-enero'ikaa aro''amba -,seperti mereka berkelahi
arombesehe,mereka berkelahi,tiwahako ana - jangan sampai,
"ida, mesida",rajin,o limo pakambo - leu ine tekonggo.o,lima penduduk kampung rajin datang di pesta
ikola,sekolah,lakoto ona i -,pergilah ke sekolah
mombokombesikola,menyekolahkan,i ina - anano,ibu menyekolahkan anaknya
ikuru,cukur,mosa'a - no,cukurnya tidak baik
ila,silat,inae mokondauko,siapa mengajarmu silat?
ilibio,pelir,- ronga wutano haino mokato-kato,pelir dan kontol adiknya gata-gatal
"ilu, o silu",cuka,- ine botolo nggiro'o tesolo,cuka di botol itu tumpah
"ima, o sima",belasting,- pewiso i ngapa aso etu rupiah,belasting
sambung,"lantai itu, posimbi menyambung",no babu ano pakei,dia menyambu baju lalu dipakainya
sina,kalau,- kiniwi ato leu hirot kalau sudah sore mereka data,
"sindiri, mosindiri",menyindir,ian uehe - toono,jangan suka m nyindir orang
sinua,hasil,- no luwuako nggo p wadano o hala,hasilnya semuan untuk pembayar utang
siru,sendok,aleikona - ngginaangs ambilkan sendok makanku!,
"sisipako, mbesisipako",menyikir,Je no sorodadu - no toono dad,
sodoike,menjolokkan,i keni no -,
posoki,penyumbat,hudaikee no,bukakan penyumbatnya
"oko, mesoko",berang,iee - sawatuu,ia sangat berang
mombesoko,memberang,ana motuono - kaa,"orang tuanya memberang saja; tesoko-sokoc«pemberang; - sawatua ana dalo nggiro'o, pemberang benar anak itu"
mokoso,bengis,oaso rada iwa- WOno -,seorang raja yang amat bengis
sumoko,io membengisi,iee noihei - kolele,ia suka membengisi binatang
plana,celana,opio dadiono - mu,berapa banyak celanamu?
"olara, esolara",terhambur,o tawa dadio - i,
"lara, tesolara",terhambur,o tawa dadio - i sala,banyak daun terhambur di jalan
pleo,semut,dadio - i keni,banyak semut di sini
"olo, tesolo",tertumpah,- ito iwoi ne embere,air di ember tertumpah
tesolo'i,tertumpah,- ninahuno,masakannya tertumpah
sumolonggee,menumpahkan,inaku - iwoi nggiro'o,saya yang menumpahkan air itu
sinolongako,ditumpahkan,o hawo - i kitu ine lomba,apa yang ditumpahkan di lubang situ?
"somba, sinomba",disembah,o'ombu -,Tuhan yang disembah
"opu, sumepu",menyepuh,inggo'o to'ori -,kamu pintar menyepuh
soro,dorong,iamo u - i keetea jangan kau dorong nanti terjepi mesoro bersambung,"mendoron - laikoro, urmah mereka bersar bung"
sorodadu,tentara,no tewali -,d menjadi tentara
"sosa, sosa'i",rusakkan,iamo - kasor mu,jangan rusakkan kasurmu
sumosai,dimarahi,anoki - ur kakano,nanti kamu dimarahi k kaknya
"sosaki, sumosaki",menyeberang,we langgu - aalaa,temanku meny berang sungai
"sosawa, mbesosawa",membujuk,r ari wanggui ano'amba -,sesuda ia memukul baru membujuk
teoposowu-sowu,beribu-ribu,- fo ono laa mbolasu,beribu-ribu o
suai,dapati,ku - laa moiso i rapi,saya dapati sedang tidur di kamar
sumua'i,yang dapat,ha,"inaeto hai, siapa yang dapat?"
posua,mendapat,no mokoeheeheno no -o doi i sala,dia senang sekali mendapat uang di jalan
uere,lain,- nggoli'ikaa meo andalo tu'o,lain juga menempuh hutan
"siu, sui-sui",burung-burung,- piia mora-maroa,burung-burung bunyi beramai-ramai
nkaako,berpindah,anopesuka-sukaakoosi,dia berpindah sedikit
"ukara, masukarai",susah,- i keni poiaha,susah tempat tinggal di sini
mesukokee,menanyakan,i ali haino,Ali menanyakan adiknya
pesuko,pertanyaan,ariroto leu mbowawo - no i hanu,"sudah mereka datang membawa pertanyaannya posuko bertanya, i wanooto wajarlah pertanyaannya"
pombosuko,pertanyaan mereka,aso - aro luale sani,serempak mereka bertanya kepada nona Sani
sumuko,menanya,- i anakoda,
sumela,kutu busuk,lagi - ine pu lua nggiro'o,ada kutu busuk bantal itu
sumumbele'ikee,potongkan,oi ene - worokono,pergi potongk lehernya
posusua,menyanyi,fudu oleo,
suki,patok,i bio mombasakee -,
lumee,semen,horo'pii laikamu ronga -,beri lantai rumahmu dengan semen
ta'a,biar,- akuku lako mogalu,bi saya tidak pergi bersawah
taahori,belum,i batulu mababo,I tulu belum mandi
taasi,tas,lakoto aleikona - ngg pergilah ambilkan tasku,
"tabe, patabei",hormati,imbe barisi mokole,kalian berbaris mer
tadohoro.,kolong,- laokano mokosisi,kolong rumahnya kotor
"taha, motaha",masak,i bangga laa taipa -,ada mangga masak di perahu
tahai,tahan,no - o oto,dia tahan oto
tahori,belum,uhu-uhuo no peohaki ano - leu,kalau-kalau ia sakit sehingga ia belum datang
ta'i,ampas,- nggaluku,ampas kelapa
ta'inahu,daging,no poalo purundawa ronga -,dia mengambil sayur dan daging
meta'inahu,makan dengan daging,iee -,dia makan dengan daging
"taka, anotumako lalu",mengudik,pawiso iwowa sambara -,masuk ke muara Sambara lalu mengudik menuju ke hulu
anotakario,dia mengudik,pewiso iwowa sambara anutomako aalaano konawe'eha,masuklah di muara Sambara lalu dia mengudik ke sungai Konawe'eha
takule,belimbing,puu - nggiro'o meitaito,pohon belimbing itu sudah tinggi
"tale, tetale",berhamburan,morosi'i no - hapo-hapomu,keterlaluan barang-barangmu berhamburan
"talia, montalia",memindahkan,i bio -,
tumaliai,pindahkan,- taipa nggi ro'o,"pindahkan mangga itu; anopetalia supaya pindah tempat nopo'orikeeto Tolohoru - mong gaa, sudah dia panggil Tolohon supaya pindah tempat untul makan"
tamate,tomat,i saira mo'oli -,Sair membeli tomat
tamba,usir,- ito ano lako ari i laika usrilah dia pergi dari rumah,
"tambi, tetambi",tercecer,- ito doinggu,uangku tercecer
"tambino, satetambino begitu",tercecer,- lau-launo lumolahai,bebitu tercecer dia cari lesung
